Semester,Division,Dept,Num,CourseName,CourseLevel,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
Fall, College of Fine Arts,ART,60220,TECH CHARACTER ANIM,Undergraduate,9.67,4.67,4.67,4.89,4.89,4.78,4.78,4.78,4.78,4.78
Fall, College of Fine Arts,ART,60223,PHYSICAL COMPUTING,Undergraduate,10.29,5,4.86,4.86,5,4.71,5,5,5,5
Spring, College of Fine Arts,ART,60223,PHYSICAL COMPUTING,Undergraduate,10.25,4.83,4.75,4.83,4.83,4.58,4.75,4.67,4.75,4.75
Spring, College of Fine Arts,ART,60235,PHOTOGRAPH AMERICA,Undergraduate,6.5,5,5,5,5,5,5,5,5,5
Fall, College of Fine Arts,ART,60239,READING PICTURES,Undergraduate,5,4.5,5,5,5,5,4.5,4.5,4.5,5
Fall, College of Fine Arts,ART,60241,BL & WHT PHOTOGHY II,Undergraduate,8,5,4.5,5,5,5,5,5,5,5
Fall, College of Fine Arts,ART,60250,2D MDA STD: PAINTING,Undergraduate,13.36,4.73,4.45,4.27,4.64,4.91,4.27,4.73,4.55,4.55
Fall, College of Fine Arts,ART,60251,2D MEDA STD:PRT MEDA,Undergraduate,15,4.83,5,5,5,4.83,5,5,5,5
Spring, College of Fine Arts,ART,60251,2D MEDA STD:PRT MEDA,Undergraduate,8,4.6,5,4.8,4.6,4.8,5,4.8,4.4,4.6
Spring, College of Fine Arts,ART,60280,INTRO CONTEXT PRACT,Undergraduate,8.62,4.48,4.57,4.48,4.1,4.14,4.24,4.67,4.24,4.05
Fall, College of Fine Arts,ART,60333,CHARACTER RIGGING,Undergraduate,8.75,4.25,4.13,4.13,3.63,3.88,3.75,4.75,4.25,3.75
Fall, College of Fine Arts,ART,60350,BUSINESS-CREATIVE PR,Undergraduate,3.71,4.88,4.63,4.63,4.38,4.75,5,4.75,4.63,4.88
Spring, College of Fine Arts,ART,60350,PROFESSIONAL DEV,Undergraduate,4.4,5,4.6,4.6,4.4,5,4.8,4.8,5,5
Fall, College of Fine Arts,ART,60353,MEDIA PERFORMANCE,Undergraduate,7.25,4.5,4,4.25,4,4.5,4,4,4.5,4.5
Fall, College of Fine Arts,ART,60358,QUEER FILM AND MEDIA,Undergraduate,4.25,4.5,3.5,3.5,3.25,5,4,4.25,3.75,4
Spring, College of Fine Arts,ART,60361,ART AND ACTIVISM,Undergraduate,7.67,5,4.89,4.78,4.89,4.89,4.78,5,4.89,4.89
Spring, College of Fine Arts,ART,60388,CRITICAL STUDIES,Undergraduate,6.5,4.5,4.5,4.5,4,5,5,4,4.5,4.5
Fall, College of Fine Arts,ART,60398,SOC HSTRY OF ANIMATN,Undergraduate,6.88,4.5,4.88,4.75,4.25,4.63,4.75,4.63,4.75,4.75
Fall, College of Fine Arts,ART,60401,SENIOR STUDIO,Undergraduate,12.26,4.36,3.71,3.74,4.21,3.88,3.83,4.59,4.32,3.83
Spring, College of Fine Arts,ART,60402,SENIOR STUDIO,Undergraduate,12.78,4.74,4.63,4.74,4.63,4.7,4.59,4.78,4.63,4.59
Fall, College of Fine Arts,ART,60403,SENIOR CRIT SEMINAR,Undergraduate,9.5,4.5,4.25,4.75,4.75,4.75,4.75,4.75,4.75,4.75
Spring, College of Fine Arts,ART,60403,SENIOR CRIT SEMINAR,Undergraduate,8,3.67,3.33,3.67,4,4.33,4.33,3.33,3,3
Fall, College of Fine Arts,ART,60405,ADV ETB: SPECIAL TOP,Undergraduate,12,3,4,3.67,3.33,3.5,3,2.33,3,3
Fall, College of Fine Arts,ART,60408,STORY & RESISTANCE,Undergraduate,12.5,4.67,4.83,4.33,4.67,4.17,4.17,4.33,4.5,4.5
